Bit,Flag,Description,Reference
5,AA,Authoritative Answer,[RFC1035]
6,TC,Truncated Response,[RFC1035]
7,RD,Recursion Desired,[RFC1035]
8,RA,Recursion Available,[RFC1035]
10,AD,Authentic Data,[RFC4035][RFC6840][RFC Errata 4924]
11,CD,Checking Disabled,[RFC4035][RFC6840][RFC Errata 4927]
